POINT_TYPE,AveTree,AvePFG,AveAFG,AveShrub,AveLit,AveBG,AveTemp,AvePrecip,AveCrop,DensOil,DensWind,DensRoadway,DistHighway,DistWind,DistTrans,DistRoadway,DistOil,Ruggedness,VarPFG,VarShrub,VarBG,VarAFG,VarLit
LEK,2.34466362,71.44168854,7.830150604,3.251708984,6.175500393,5.969018459,25.94182968,575.5290527,0.149056047,2,0,2516.175781,8532.855469,36008.41797,7768.42334,483.7892761,1710.363647,18.035923,17.19315338,2.495289564,7.117938042,7.601449013,4.058173656
LEK,2.572104216,65.87397766,10.06341171,2.689844131,6.746006012,9.156732559,25.70211601,544.4642334,0.300124198,12,0,3097.830811,4062.126221,7534.769043,2861.856689,484.3858032,1239.98291,9.342273712,25.71828079,2.030535221,12.37190914,10.65462494,5.479235172
LEK,3.316211224,70.47045135,7.471176147,3.220915318,5.783597946,6.533243179,25.76431847,559.609375,0.141491205,4,0,2310.287354,8451.84375,13643.13672,7499.94873,402.7776184,2471.024658,14.90758514,18.16426659,1.986547947,7.646857262,7.786554337,3.079892159
LEK,3.209857702,70.73812103,7.549218178,3.141857862,5.781172276,6.324128151,25.74895287,555.4564209,0.140878409,9,0,2493.820801,8451.874023,12218.94727,6722.331055,185.7207947,1487.98938,13.43638706,18.12333679,1.950215816,7.225003719,7.827086926,3.101852417
LEK,2.370464325,64.89646149,10.71296501,2.682256222,6.911304951,9.578836441,25.70007324,542.3773804,0.325179249,14,0,3112.746338,2568.117676,5850.756348,1210.171997,330.4733276,2105.736816,9.003477097,26.43387032,1.984940171,12.78745174,11.89800167,5.672513962
LEK,2.935309887,71.6689682,7.558987617,2.973559856,5.625990868,6.175030231,25.74884796,553.5723267,0.158802584,9,0,2618.29248,7229.540527,11332.87891,5519.834961,674.6690063,1972.40332,12.54307842,18.16444778,1.889502645,7.002876282,7.977673054,3.121318817
LEK,4.326413155,65.44143677,8.753462791,3.741831541,7.147311211,7.216918945,25.98076439,572.880188,0.143069446,4,0,2689.156494,7184.20166,25436.73633,6437.469727,730.2841797,2401.370117,17.11297035,19.27973366,2.601189852,7.718493938,10.17903328,3.08336544
LEK,2.268191814,71.10949707,8.374159813,2.607956409,5.797532558,6.983498573,25.71972466,545.7446899,0.219027996,16,0,2871.504883,4551.04541,6965.484863,1882.252686,160.1900024,845.9656372,9.746429443,22.31561279,1.808653235,10.23455238,9.459116936,4.676827908
LEK,4.469389439,69.73168945,8.151185036,4.11962986,5.813573837,4.920143127,26.36777306,584.2472534,0.069228537,6,0,2104.437744,3376.30957,18327.72266,2733.155762,241.8280334,3051.986084,18.79241943,15.94376659,4.290173054,5.216210365,6.530377388,2.502981663
LEK,2.18222332,72.82591248,8.222579956,2.691282749,5.294002056,5.945793629,25.73273468,545.5549927,0.190093085,17,0,2744.870605,4274.243652,6332.982422,912.670105,533.7166748,1710.363647,10.6784935,20.32342529,1.784247398,8.462692261,9.302146912,3.821995258
LEK,2.213468313,75.32957458,6.833498001,2.701672792,4.861066341,5.181442738,25.7455883,547.696228,0.139944136,13,0,2614.239014,4404.651855,8000.761719,1517.447754,290.9826965,708.3066406,10.40052986,16.93370247,1.71393764,6.9495821,6.944160938,2.836256981
LEK,2.6048913,75.31918335,5.874860287,2.788120747,5.130922318,5.503436565,25.78085518,558.4350586,0.105236791,1,0,2453.895996,3997.117676,13900.11133,3042.179688,761.1754761,4070.452637,13.75420094,15.56156445,1.925134778,6.368392467,6.111113071,2.513979912
LEK,4.034705162,64.7620163,10.11432648,4.072729588,6.90777874,6.923932552,26.23600578,574.3173828,0.199227616,1,0,2444.857666,4459.09668,28444.64453,1518.4198,190.8704987,4020.206787,17.15865326,20.62044716,4.040094852,8.406277657,8.459188461,4.119558334
