POINT_C,POINT_TYPE,AveTree,AvePFG,AveAFG,AveBG,AveShrub,AveLit,DensOil,DensRoadway,DensWind,DistHighway,DistOil,DistRoadway,DistWind,Ruggedness,VarAFG,VarPFG,VarBG,VarTree,VarLit,VarShrub,AvePrecip,AveTemp,AveCrop,AveElev,DistTrans,Data_set,Stable_lek,PT_Type
LEK,LEK,3.446230888,67.45333099,8.696416855,7.348330498,3.400722027,6.238159657,11,2095.615479,0,8.545410156,2.162775635,0.373825043,15.04067773,16.10234261,9.599604607,19.63092422,8.972776413,3.852140665,3.758985281,2.004208088,563.5999146,25.76364708,0.148981512,825.5508423,8.520919922,A,0,1
LEK,LEK,3.446230888,67.45333099,8.696416855,7.348330498,3.400722027,6.238159657,11,2095.615479,0,8.545410156,2.162775635,0.373825043,15.04067773,16.10234261,9.599604607,19.63092422,8.972776413,3.852140665,3.758985281,2.004208088,563.5999146,25.76364708,0.148981512,825.5508423,8.520919922,A,0,1
LEK,LEK,2.282765865,73.16869354,7.473282337,5.0724473,3.142986059,5.777458191,4,2294.668701,0,9.891003906,3.111241699,0.237562805,36.74794141,18.61292648,7.021738529,15.25917244,5.431384563,3.507488728,3.429581165,2.244285345,575.6005859,25.89765358,0.125626102,760.7189331,9.130580078,A,0,1
LEK,LEK,5.084370136,61.395401,11.81143951,6.852792263,4.895188808,6.87922287,0,2308.665771,0,6.945901855,5.25188916,0.279745239,29.20965039,14.80208588,8.858940125,19.99955559,8.399669647,6.627127171,4.607067108,5.670546055,579.0630493,26.17277908,0.190544948,725.0996704,4.669154297,A,0,1
LEK,LEK,2.813141108,66.98074341,9.884075165,8.041268349,2.827621222,6.446352959,12,3021.808594,0,5.175841309,0.925115234,0.362717377,8.796083984,10.66215992,10.58754444,24.02622032,10.72165585,3.926819086,4.991316795,2.069579363,546.1122437,25.70691681,0.258578151,847.4807129,4.091063721,A,0,1
LEK,LEK,3.399227142,69.50162506,7.664081097,6.871258736,3.315722227,5.955375195,5,2273.562988,0,9.049428711,2.115524414,0.631204651,14.71917578,16.24239731,8.165363312,18.49787521,8.259415627,3.806097984,3.303625107,1.964985251,562.4572144,25.77021027,0.130198926,824.6306763,8.094371094,A,0,1
LEK,LEK,2.745526791,65.7462616,10.23919392,8.848033905,2.785553694,6.706063747,12,3039.33374,0,4.442419434,1.364078613,0.370704926,8.060370117,10.07318115,10.66985416,25.2446003,11.75758839,3.933321238,5.329271793,2.114535809,544.9538574,25.70295525,0.293492079,849.3898315,3.438045898,A,0,1
LEK,LEK,2.5701015,62.54021072,11.71626568,10.31508255,2.732786179,7.257266045,14,3312.367188,0,2.92124707,1.168295532,0.287502441,6.562629395,8.373348236,12.66533661,27.3318634,13.20650959,3.939150572,5.812761307,2.168182373,542.4338989,25.69493294,0.363927901,853.0690308,2.304799316,A,0,1
LEK,LEK,2.585296154,63.56254196,11.09506035,10.02364731,2.736293316,7.122986794,13,3145.245361,0,3.518850342,1.624751709,0.310100922,7.129708984,8.866579056,11.83308125,26.87457085,12.93645668,3.898383617,5.720159054,2.131110191,543.4453125,25.6980896,0.339323491,851.8468018,2.688932373,A,0,1
LEK,LEK,2.934604645,71.07126617,8.170422554,6.157578945,2.904318571,5.621722221,10,2841.907959,0,7.185961914,1.765550781,0.767041382,10.32426758,11.86643505,8.804718018,19.43723679,7.577932835,3.797981501,3.36588788,1.865541101,549.2527466,25.72160339,0.159415543,841.3447266,5.33945166,A,0,1
STABLE,LEK,2.34466362,71.44168854,7.830150604,5.969018459,3.251708984,6.175500393,2,2516.175781,0,8.532855469,1.710363647,0.483789276,36.00841797,18.035923,7.601449013,17.19315338,7.117938042,3.493061781,4.058173656,2.495289564,575.5290527,25.94182968,0.149056047,757.5684204,7.76842334,A,1,1
LEK,LEK,2.572104216,65.87397766,10.06341171,9.156732559,2.689844131,6.746006012,12,3097.830811,0,4.062126221,1.23998291,0.484385803,7.534769043,9.342273712,10.65462494,25.71828079,12.37190914,3.817670584,5.479235172,2.030535221,544.4642334,25.70211601,0.300124198,850.3355103,2.861856689,A,0,1
LEK,LEK,3.316211224,70.47045135,7.471176147,6.533243179,3.220915318,5.783597946,4,2310.287354,0,8.45184375,2.471024658,0.402777618,13.64313672,14.90758514,7.786554337,18.16426659,7.646857262,3.830982208,3.079892159,1.986547947,559.609375,25.76431847,0.141491205,827.9883423,7.49994873,A,0,1
LEK,LEK,3.209857702,70.73812103,7.549218178,6.324128151,3.141857862,5.781172276,9,2493.820801,0,8.451874023,1.48798938,0.185720795,12.21894727,13.43638706,7.827086926,18.12333679,7.225003719,3.780120611,3.101852417,1.950215816,555.4564209,25.74895287,0.140878409,832.8569336,6.722331055,A,0,1
LEK,LEK,2.370464325,64.89646149,10.71296501,9.578836441,2.682256222,6.911304951,14,3112.746338,0,2.568117676,2.105736816,0.330473328,5.850756348,9.003477097,11.89800167,26.43387032,12.78745174,3.732674837,5.672513962,1.984940171,542.3773804,25.70007324,0.325179249,851.770874,1.210171997,A,0,1
LEK,LEK,2.935309887,71.6689682,7.558987617,6.175030231,2.973559856,5.625990868,9,2618.29248,0,7.229540527,1.97240332,0.674669006,11.33287891,12.54307842,7.977673054,18.16444778,7.002876282,3.59700036,3.121318817,1.889502645,553.5723267,25.74884796,0.158802584,835.9019165,5.519834961,A,0,1
LEK,LEK,4.326413155,65.44143677,8.753462791,7.216918945,3.741831541,7.147311211,4,2689.156494,0,7.18420166,2.401370117,0.73028418,25.43673633,17.11297035,10.17903328,19.27973366,7.718493938,5.278372288,3.08336544,2.601189852,572.880188,25.98076439,0.143069446,765.0291138,6.437469727,A,0,1
LEK,LEK,2.268191814,71.10949707,8.374159813,6.983498573,2.607956409,5.797532558,16,2871.504883,0,4.55104541,0.845965637,0.160190002,6.965484863,9.746429443,9.459116936,22.31561279,10.23455238,3.490033865,4.676827908,1.808653235,545.7446899,25.71972466,0.219027996,847.2057495,1.882252686,A,0,1
STABLE,LEK,4.469389439,69.73168945,8.151185036,4.920143127,4.11962986,5.813573837,6,2104.437744,0,3.37630957,3.051986084,0.241828033,18.32772266,18.79241943,6.530377388,15.94376659,5.216210365,6.046387672,2.502981663,4.290173054,584.2472534,26.36777306,0.069228537,695.56427,2.733155762,A,1,1
STABLE,LEK,2.18222332,72.82591248,8.222579956,5.945793629,2.691282749,5.294002056,17,2744.870605,0,4.274243652,1.710363647,0.533716675,6.332982422,10.6784935,9.302146912,20.32342529,8.462692261,3.353419542,3.821995258,1.784247398,545.5549927,25.73273468,0.190093085,845.4577637,0.912670105,A,1,1
